degree,n,h,L2_error,H1_seminorm_error,L2_rate,H1_rate
1.0,8.0,0.125,0.02113277347422519,0.4317982830064733,nan,nan
1.0,16.0,0.0625,0.005377435010009713,0.21753633635952738,1.974492030705123,0.9891011038361047
1.0,32.0,0.03125,0.0013504362485412308,0.10897542351921796,1.9934926491564464,0.9972535922789391
1.0,64.0,0.015625,0.0003379923348091786,0.05451370453599807,1.9983631009417036,0.9993119419622113
2.0,8.0,0.125,0.0005480619012093645,0.03338684919774881,nan,nan
2.0,16.0,0.0625,6.873916047672289e-05,0.008419135858389977,2.995134711476184,1.9875358814822468
2.0,32.0,0.03125,8.600535274354811e-06,0.0021095244243850187,2.99863387472387,1.9967543710235727
2.0,64.0,0.015625,1.0753466894290118e-06,0.0005276835576226344,2.9996245955519156,1.9991728557610262
